id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-06-29 08:59:21,湖北,68160,0,63647,4512,0,0,,,,0,,0,0,,0
700000,2021-06-29 14:29:25,台湾,14748,0,10086,643,0,0,,,,114,,436,11,,-333
810000,2021-06-29 09:49:21,香港,11920,0,11626,210,0,0,,,,3,,1,0,,2
440000,2021-06-29 08:59:21,广东,2736,0,2565,8,0,0,,,,3,,7,0,,-4
310000,2021-06-29 08:59:20,上海,2202,0,2141,7,0,0,,,,1,,1,0,,0
230000,2021-06-29 08:59:20,黑龙江,1612,0,1599,13,0,0,,,,0,,0,0,,0
330000,2021-06-29 09:49:20,浙江,1386,0,1334,1,0,0,,,,1,,0,0,,1
410000,2021-06-29 08:59:20,河南,1317,0,1291,22,0,0,,,,0,,0,0,,0
130000,2021-06-29 08:59:20,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
510000,2021-06-29 08:59:21,四川,1097,0,1049,3,0,0,,,,2,,1,0,,1
110000,2021-06-29 08:59:21,北京,1078,0,1055,9,0,0,484.0,0.0,470.0,0,,1,0,,-1
430000,2021-06-29 08:59:21,湖南,1056,0,1047,4,0,0,,,,0,,0,0,,0
340000,2021-06-29 08:59:21,安徽,1006,0,998,6,0,0,,,,2,,0,0,,2
650000,2021-06-29 08:59:21,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
360000,2021-06-29 08:59:20,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-06-29 08:59:21,山东,883,0,875,7,0,0,,,,0,,0,0,,0
320000,2021-06-29 08:59:21,江苏,742,0,729,0,0,0,,,,0,,0,0,,0
350000,2021-06-29 09:49:21,福建,675,0,623,1,0,0,,,,3,,3,0,,0
610000,2021-06-29 09:54:23,陕西,626,0,618,3,0,0,,,,2,,0,0,,2
500000,2021-06-29 08:59:21,重庆,598,0,591,6,0,0,,,,0,,0,0,,0
220000,2021-06-29 08:59:20,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-06-29 08:59:21,辽宁,427,0,424,2,0,0,,,,0,,0,0,,0
530000,2021-06-29 08:59:21,云南,415,0,361,2,0,0,,,,4,,6,0,,-2
120000,2021-06-29 09:49:20,天津,401,0,389,3,0,0,,,,0,,1,0,,-1
150000,2021-06-29 08:59:21,内蒙古,394,0,390,1,0,0,,,,0,,0,0,,0
450000,2021-06-29 08:59:21,广西,275,0,273,2,0,0,,,,0,,0,0,,0
140000,2021-06-29 08:59:21,山西,253,0,252,0,0,0,,,,0,,0,0,,0
620000,2021-06-29 08:59:21,甘肃,195,0,192,2,0,0,,,,0,,0,0,,0
460000,2021-06-29 08:59:20,海南,188,0,181,6,0,0,,,,0,,0,0,,0
520000,2021-06-29 08:59:21,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-06-29 08:59:21,宁夏,76,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-06-29 08:59:20,澳门,54,0,51,0,0,0,,,,0,,0,0,,0
630000,2021-06-29 08:59:20,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-06-29 08:59:20,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
